"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"47,54";"69,65";"74,41";"37,92";"90,79";"94,89";"94,53";"98,90";"92,68";"86,75";"94,16";"101,90";"114,10";"113,45";"100,19";"106,68";"98,73";"101,35";"102,76";"101,44";"106,10";"106,35";"119,63";"109,01";"99,94";"89,66";"76,26";"91,79"
"12 Acre";"11,21";"51,66";"47,67";"13,15";"28,87";"113,88";"60,72";"77,99";"84,91";"94,58";"83,24";"82,15";"85,93";"101,72";"88,30";"97,63";"93,29";"93,78";"90,68";"84,83";"65,21";"82,62";"81,55";"72,58";"70,66";"76,42";"54,60";"75,18"
"13 Amazonas";"27,96";"42,02";"52,97";"12,19";"21,17";"64,23";"64,57";"66,13";"66,06";"68,57";"77,60";"85,09";"86,34";"91,82";"86,98";"93,92";"92,73";"90,33";"93,98";"86,43";"90,05";"95,21";"106,98";"75,99";"79,36";"78,58";"56,94";"73,11"
"14 Roraima";"10,60";"45,72";"78,27";"30,93";"74,29";"95,52";"122,90";"77,19";"85,19";"78,41";"80,64";"87,62";"84,80";"88,46";"81,84";"99,60";"90,85";"93,31";"84,34";"83,52";"87,42";"97,26";"92,39";"94,47";"83,52";"64,39";"64,92";"81,37"
"15 Pará";"3,46";"31,17";"34,69";"5,14";"10,52";"63,64";"63,75";"73,64";"85,50";"86,50";"105,25";"106,42";"105,30";"103,32";"102,19";"104,32";"100,64";"96,71";"93,35";"93,44";"83,71";"73,63";"76,33";"61,63";"58,04";"62,38";"45,92";"71,00"
"16 Amapá";"0";"6,92";"66,18";"11,79";"34,62";"83,62";"87,62";"156,27";"90,72";"86,50";"89,80";"91,32";"90,84";"89,91";"91,22";"100,73";"90,14";"88,48";"87,77";"92,44";"78,21";"85,74";"99,65";"60,37";"63,09";"52,67";"31,70";"78,90"
"17 Tocantins";"0";"0";"53,30";"24,80";"57,18";"96,97";"94,71";"100,11";"95,97";"96,67";"102,12";"102,76";"105,93";"105,10";"97,43";"105,74";"97,54";"98,55";"93,49";"105,07";"94,40";"100,00";"106,61";"85,77";"90,04";"76,38";"76,97";"90,40"
"21 Maranhão";"0,07";"0,00";"0,14";"0,47";"3,28";"35,39";"64,93";"75,45";"79,78";"84,96";"95,98";"100,16";"106,39";"106,25";"101,16";"106,02";"100,24";"97,04";"97,44";"100,18";"90,09";"92,09";"87,50";"73,70";"80,64";"58,58";"40,48";"67,35"
"22 Piauí";"0";"0,01";"0,00";"0";"0";"14,23";"91,91";"95,29";"93,41";"88,93";"94,87";"94,83";"101,69";"101,98";"99,19";"102,30";"95,72";"96,92";"93,04";"93,74";"82,92";"82,37";"88,08";"76,09";"85,95";"68,15";"51,13";"67,45"
"23 Ceará";"0";"0";"0,03";"0,00";"1,02";"59,57";"96,84";"107,33";"100,35";"97,22";"108,58";"106,33";"104,35";"104,49";"101,68";"103,63";"99,54";"98,25";"95,67";"100,85";"99,59";"108,66";"125,04";"96,96";"107,78";"80,06";"70,10";"77,19"
"24 Rio Grande do Norte";"0";"0,00";"0,00";"0,01";"0,73";"38,88";"86,44";"88,03";"97,59";"97,58";"95,41";"94,62";"102,00";"97,72";"91,43";"97,95";"94,28";"97,52";"97,04";"89,58";"89,93";"91,01";"83,49";"69,02";"89,54";"68,87";"57,16";"68,84"
"25 Paraíba";"0";"0";"0,01";"0,02";"0,56";"45,64";"89,16";"96,64";"96,61";"94,77";"98,70";"101,24";"107,08";"105,84";"97,95";"105,20";"98,07";"98,29";"96,31";"100,04";"93,49";"95,19";"97,01";"82,48";"91,61";"82,21";"62,31";"75,63"
"26 Pernambuco";"0";"0";"0,08";"0,35";"1,31";"85,69";"93,22";"87,18";"97,84";"101,58";"99,51";"99,31";"101,79";"104,14";"102,32";"105,14";"98,76";"103,01";"103,68";"103,47";"101,80";"104,38";"103,40";"86,09";"94,66";"73,70";"59,55";"76,08"
"27 Alagoas";"0";"0";"0,06";"0,10";"4,38";"55,10";"82,28";"76,94";"95,03";"94,88";"99,02";"97,95";"99,90";"90,95";"88,86";"103,26";"96,60";"89,84";"92,56";"95,50";"91,65";"92,53";"98,57";"82,38";"98,51";"79,12";"65,23";"73,42"
"28 Sergipe";"0";"0";"0,01";"0,03";"1,26";"72,99";"101,48";"92,74";"101,39";"102,71";"100,92";"90,63";"94,47";"105,13";"98,65";"103,22";"98,60";"102,07";"96,56";"100,05";"94,41";"94,09";"82,14";"80,03";"91,47";"76,81";"61,64";"77,77"
"29 Bahia";"0";"0";"0,00";"0,06";"11,82";"83,39";"80,18";"92,96";"83,82";"85,32";"94,24";"102,38";"103,71";"99,72";"96,03";"99,78";"94,43";"95,95";"92,25";"90,64";"92,41";"93,42";"83,73";"77,05";"77,25";"66,89";"57,03";"69,76"
"31 Minas Gerais";"0";"0";"0";"0,02";"1,18";"75,64";"111,31";"94,13";"90,25";"83,43";"99,70";"101,94";"103,54";"103,38";"99,11";"103,78";"96,80";"98,03";"100,70";"104,11";"99,04";"100,98";"105,35";"87,33";"98,05";"74,36";"76,22";"86,48"
"32 Espírito Santo";"90,42";"86,87";"85,76";"34,50";"100,01";"107,94";"97,75";"98,52";"102,69";"108,10";"105,15";"103,15";"103,09";"102,16";"98,36";"102,15";"99,21";"103,95";"101,42";"107,36";"101,41";"101,12";"117,67";"82,36";"89,84";"66,38";"75,60";"95,16"
"33 Rio de Janeiro";"0";"0,00";"0,05";"0,34";"1,88";"77,08";"84,27";"86,26";"89,03";"87,30";"90,68";"96,53";"96,12";"93,67";"87,94";"93,05";"90,28";"94,81";"92,62";"96,57";"94,87";"103,85";"120,07";"93,65";"88,20";"55,16";"47,84";"75,23"
"35 São Paulo";"0";"0";"0";"0";"2,79";"112,32";"97,24";"96,00";"93,82";"98,29";"95,86";"97,17";"97,07";"96,10";"95,05";"97,76";"95,63";"99,28";"97,44";"104,37";"99,58";"100,68";"110,04";"87,71";"91,73";"72,14";"78,40";"81,03"
