"Unidade da Federação";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"0";"17,15";"93,85";"94,94";"115,24";"130,63";"115,99";"125,36";"116,70";"103,49";"102,29";"100,41";"102,72";"105,40";"90,54";"129,81";"101,81";"102,05";"92,29";"90,26";"94,34";"67,35";"98,33"
"12 Acre";"0";"27,55";"67,82";"104,56";"99,40";"123,22";"95,12";"90,84";"109,45";"94,17";"103,45";"96,87";"105,29";"90,28";"61,04";"80,40";"67,95";"69,95";"66,07";"77,52";"83,02";"44,58";"79,83"
"13 Amazonas";"0";"14,84";"27,69";"71,27";"91,30";"86,06";"104,03";"103,37";"110,07";"101,56";"103,13";"100,11";"94,67";"103,39";"77,43";"99,43";"86,79";"79,58";"70,58";"83,90";"87,20";"58,32";"82,81"
"14 Roraima";"0";"25,35";"61,93";"75,26";"110,22";"110,32";"116,01";"94,23";"97,31";"95,51";"100,61";"94,49";"97,98";"87,83";"56,04";"99,92";"100,44";"87,13";"86,40";"93,79";"83,97";"56,57";"85,99"
"15 Pará";"0";"10,14";"47,94";"120,34";"124,98";"143,10";"116,35";"113,05";"118,49";"111,83";"117,62";"110,95";"109,25";"102,20";"66,63";"90,54";"58,85";"65,98";"60,84";"68,64";"77,07";"51,59";"84,25"
"16 Amapá";"0";"5,25";"131,68";"89,81";"114,50";"129,76";"99,34";"90,41";"98,29";"93,02";"100,57";"92,10";"93,00";"91,55";"72,03";"99,03";"81,83";"91,65";"66,07";"70,49";"80,76";"38,40";"83,62"
"17 Tocantins";"0";"0,17";"82,17";"88,48";"115,03";"97,41";"101,00";"100,96";"107,82";"96,40";"103,00";"95,33";"91,41";"91,60";"87,28";"97,49";"78,02";"90,08";"78,52";"85,04";"87,89";"67,79";"86,70"
"21 Maranhão";"0";"82,66";"80,13";"83,40";"102,32";"106,30";"113,67";"110,54";"119,71";"113,90";"118,10";"109,99";"112,84";"98,21";"76,21";"106,55";"82,41";"63,80";"64,71";"70,46";"76,46";"45,63";"90,30"
"22 Piauí";"0";"72,25";"95,28";"95,22";"111,58";"116,01";"102,50";"104,90";"107,07";"100,90";"102,35";"97,70";"97,02";"98,33";"89,26";"83,30";"72,07";"71,19";"68,23";"78,48";"81,74";"57,01";"90,39"
"23 Ceará";"0";"85,19";"109,94";"104,11";"119,11";"112,89";"110,35";"105,30";"107,88";"103,02";"105,67";"103,91";"110,92";"97,61";"91,98";"134,52";"102,41";"104,23";"90,56";"99,30";"94,86";"70,97";"106,46"
