"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"62,68";"71,72";"77,08";"93,57";"105,92";"96,38";"102,56";"104,50";"33,14";"0,34";"103,39";"108,70";"120,48";"122,04";"107,81";"115,07";"102,64";"106,95";"103,97";"100,25";"54,39";"103,09";"51,12";"73,00";"67,22";"52,47";"79,60";"79,40"
"12 Acre";"30,66";"49,43";"51,06";"43,39";"59,69";"55,69";"65,06";"79,12";"29,65";"3,15";"86,59";"89,71";"88,14";"102,03";"88,35";"100,57";"92,41";"96,95";"87,57";"82,35";"33,68";"75,98";"36,41";"56,96";"58,13";"47,77";"50,92";"60,24"
"13 Amazonas";"32,00";"52,32";"57,91";"58,65";"65,40";"69,39";"74,81";"72,37";"40,14";"2,55";"88,50";"92,16";"91,34";"94,78";"90,15";"96,92";"94,17";"91,25";"93,26";"88,35";"44,73";"90,23";"34,29";"63,38";"67,69";"64,66";"62,14";"64,97"
"14 Roraima";"70,53";"82,78";"89,09";"73,65";"94,96";"95,44";"128,99";"81,27";"27,50";"1,87";"85,92";"95,90";"89,81";"92,05";"86,71";"105,63";"95,49";"95,91";"81,44";"84,23";"46,05";"95,34";"48,49";"82,09";"74,00";"67,82";"49,63";"72,67"
"15 Pará";"64,67";"71,80";"82,46";"65,34";"60,82";"69,82";"68,19";"83,93";"65,43";"2,47";"116,01";"115,02";"109,03";"109,55";"102,06";"101,73";"101,35";"96,13";"89,41";"90,27";"37,61";"69,59";"29,14";"50,68";"48,73";"39,55";"43,27";"64,67"
"16 Amapá";"0";"70,55";"71,10";"79,00";"77,63";"87,06";"85,73";"156,41";"30,11";"0";"96,28";"96,39";"92,58";"95,99";"98,37";"104,15";"93,43";"89,94";"87,16";"91,63";"38,64";"82,07";"44,06";"54,83";"54,92";"48,52";"36,43";"67,57"
"17 Tocantins";"0";"0";"68,48";"84,82";"96,23";"100,13";"100,46";"106,32";"24,50";"0,65";"105,75";"105,36";"108,74";"108,00";"99,57";"107,86";"97,45";"100,63";"89,38";"91,00";"51,72";"92,63";"42,39";"73,88";"69,78";"54,26";"75,78";"76,03"
"21 Maranhão";"39,16";"59,98";"57,22";"47,81";"68,78";"69,22";"73,67";"83,64";"44,48";"0,49";"97,84";"105,29";"108,90";"111,54";"106,78";"108,78";"104,39";"100,33";"86,71";"108,50";"42,95";"89,77";"29,73";"53,86";"53,54";"39,22";"40,11";"64,67"
"22 Piauí";"65,65";"76,54";"70,86";"53,58";"86,12";"91,17";"91,44";"99,80";"71,78";"2,29";"100,93";"100,45";"105,17";"105,86";"100,52";"103,01";"96,77";"99,29";"92,92";"92,07";"42,50";"81,19";"36,82";"65,21";"63,75";"51,00";"63,02";"71,70"
"23 Ceará";"91,04";"102,96";"93,27";"82,96";"88,58";"101,77";"99,03";"109,95";"37,63";"0,24";"112,14";"108,53";"106,60";"108,06";"103,55";"106,45";"101,46";"100,11";"93,83";"100,87";"53,25";"103,96";"51,50";"80,87";"78,57";"53,57";"72,89";"81,44"
"24 Rio Grande do Norte";"78,79";"81,13";"72,87";"77,64";"77,63";"87,21";"88,31";"92,02";"40,15";"2,55";"98,47";"97,04";"103,88";"99,02";"92,59";"98,68";"95,04";"97,04";"93,72";"91,56";"47,35";"91,64";"37,19";"54,96";"58,67";"51,60";"61,67";"70,66"
"25 Paraíba";"0";"46,20";"69,65";"79,53";"83,65";"92,32";"89,32";"102,80";"56,69";"2,73";"101,57";"104,07";"110,69";"109,68";"101,03";"106,62";"101,28";"101,80";"87,90";"97,21";"47,07";"85,66";"40,59";"65,36";"61,99";"63,33";"58,18";"73,18"
"26 Pernambuco";"58,85";"82,58";"74,82";"75,26";"100,38";"103,50";"94,54";"89,59";"38,80";"0";"108,30";"106,07";"108,05";"108,84";"104,85";"107,87";"102,18";"107,08";"99,82";"95,14";"48,47";"101,85";"45,57";"72,15";"70,87";"51,76";"59,36";"75,86"
"27 Alagoas";"0";"46,64";"39,30";"32,92";"58,18";"78,83";"87,81";"83,96";"41,63";"2,02";"105,59";"104,69";"104,81";"95,40";"90,98";"106,03";"98,99";"90,34";"87,12";"89,81";"45,74";"94,45";"39,03";"73,82";"73,97";"46,37";"58,10";"67,19"
"28 Sergipe";"0";"85,26";"81,02";"94,67";"98,26";"102,23";"100,48";"100,87";"43,58";"0";"107,31";"97,12";"99,04";"108,35";"100,70";"105,63";"99,68";"103,31";"97,28";"103,50";"51,40";"92,42";"41,77";"67,20";"69,38";"59,01";"51,30";"76,90"
"29 Bahia";"75,47";"53,41";"51,39";"62,22";"76,84";"80,60";"88,47";"100,04";"57,05";"3,47";"103,91";"108,77";"108,83";"104,32";"98,86";"102,99";"96,59";"98,66";"93,58";"96,38";"45,95";"93,01";"35,16";"60,48";"57,28";"56,26";"52,81";"69,78"
"31 Minas Gerais";"0";"0";"0";"65,33";"83,53";"91,84";"105,43";"97,25";"35,86";"0,58";"103,72";"106,00";"106,14";"105,86";"100,32";"105,71";"101,45";"104,20";"97,71";"103,45";"50,88";"98,31";"44,85";"77,26";"83,14";"64,16";"79,23";"77,66"
"32 Espírito Santo";"87,09";"90,77";"88,02";"98,39";"104,00";"108,26";"100,14";"101,31";"31,94";"2,05";"109,12";"107,42";"106,75";"104,78";"100,29";"104,76";"101,14";"105,94";"101,83";"90,69";"53,39";"98,26";"42,77";"71,12";"79,54";"44,72";"82,37";"79,10"
"33 Rio de Janeiro";"0";"93,93";"72,37";"78,89";"110,61";"101,97";"91,19";"91,77";"67,12";"3,39";"99,73";"101,96";"97,94";"96,92";"90,48";"95,03";"92,16";"97,45";"91,34";"90,97";"48,00";"95,14";"42,39";"74,35";"62,38";"38,31";"45,86";"72,89"
